Word,Definition
condone,"to pardon, deliberately overlook"
conduit,a pipe or channel through which something passes
confection,"a sweet, fancy food"
conﬁdant,a person entrusted with secrets
conﬂagration,great ﬁre
conﬂuence,a gathering together
conformist,one who behaves the same as others
confound,"to frustrate, confuse"
congeal,to thicken into a solid
congenial,pleasantly agreeable
congregation,"a gathering of people, especially for religious services"
congruity,the quality of being in agreement
connive,"to plot, scheme"
consecrate,to dedicate something to a holy purpose
consensus,an agreement of opinion
consign,to give something over to another’s care
consolation,an act of comforting
consonant,in harmony
constituent,an essential part
constrain,to forcibly restrict
construe,to interpret
consummate,to complete a deal; to complete a marriage ceremony through sexual  intercourse
consumption,the act of consuming
contemporaneous,existing during the same time
contentious,having a tendency to quarrel or dispute
contravene,"to contradict, oppose, violate"
contrite,"penitent, eager to be forgiven"
contusion,"bruise, injury"
conundrum,"puzzle, problem"
convene,to call together
convention,"1. an assembly of people 2. a rule, custom"
convivial,"characterized by feasting, drinking, merriment"
convoluted,"intricate, complicated"
copious,"profuse, abundant"
cordial,"warm, affectionate"
coronation,the act of crowning
corpulence,extreme fatness
corroborate,to support with evidence
corrosive,having the tendency to erode or eat away
cosmopolitan,"sophisticated, worldly"
counteract,"to neutralize, make ineffective"
coup,"1. a brilliant, unexpected act 2. the overthrow of  a government and assumption of authority"
covet,to desire enviously
covert,secretly engaged in
credulity,readiness to believe
crescendo,a steady increase in intensity or volume
criteria,standards by which something is judged
culmination,the climax toward which something progresses
culpable,deserving blame
cultivate,"to nurture, improve, reﬁne"
cumulative,"increasing, building upon itself"
cunning,"sly, clever at being deceitful"
cupidity,"greed, strong desire"
cursory,brief to the point of being superﬁcial
curt,abruptly and rudely short
curtail,"to lessen, reduce"
daunting,"intimidating, causing one to lose courage"
dearth,"a lack, scarcity"
debacle,"a disastrous failure, disruption"
debase,to lower the quality or esteem of something
debauch,to corrupt by means of sensual pleasures
debunk,to expose the falseness of something
decorous,"socially proper, appropriate"
decry,to criticize openly
deface,to ruin or injure something’s appearance
defamatory,harmful toward another’s reputation
defer,to postpone something; to yield to another’s wisdom
deferential,showing respect for another’s authority
deﬁle,"to make unclean, impure"
deft,"skillful, capable"
defunct,no longer used or existing
delegate,to hand over responsibility for something
deleterious,harmful
deliberate,"intentional, reﬂecting careful consideration"
delineate,"to describe, outline, shed light on"
demagogue,a leader who appeals to a people’s prejudices
demarcation,the marking of boundaries or categories
demean,to lower the status or stature of something
demure,"quiet, modest, reserved"
denigrate,"to belittle, diminish the opinion of"
denounce,to criticize publicly
deplore,"to feel or express sorrow, disapproval"
depravity,wickedness
deprecate,"to belittle, depreciate"
derelict,"abandoned, run-down"
deride,"to laugh at mockingly, scorn"
derivative,"taken directly from a source, unoriginal"
desecrate,to violate the sacredness of a thing or place
desiccated,"dried up, dehydrated"
desolate,"deserted, dreary, lifeless"
despondent,"feeling depressed, discouraged, hopeless"
despot,one who has total power and rules brutally
destitute,"impoverished, utterly lacking"
deter,"to discourage, prevent from doing"
devious,"not straightforward, deceitful"
dialect,a variation of a language
diaphanous,"light, airy, transparent"
didactic,1. intended to instruct 2. overly moralistic
difﬁdent,"shy, quiet, modest"
diffuse,"1. to scatter, thin out, break up 2. not concentrated, scattered, disorganized"
dilatory,"tending to delay, causing delay"
diligent,showing care in doing one’s work
diminutive,small or miniature
dirge,"a mournful song, especially for a funeral"
disaffected,"rebellious, resentful of authority"
disavow,to deny knowledge of or responsibility for
discern,"to perceive, detect"
disclose,"to reveal, make public"
discomﬁt,"to thwart, bafﬂe"
discordant,"not agreeing, not in harmony with"
discrepancy,"difference, failure of things to correspond"
discretion,the quality of being reserved in speech or action; good judgment
discursive,"rambling, lacking order"
disdain,"1. to scorn, hold in low esteem 2. scorn, low esteem"
disgruntled,"upset, not content"
disheartened,feeling a loss of spirit or morale
disparage,to criticize or speak ill of
disparate,"sharply differing, containing sharply contrasting elements"
dispatch,to send off to accomplish a duty
dispel,"to drive away, scatter"
disperse,"to scatter, cause to scatter"
disrepute,a state of being held in low regard
dissemble,"to conceal, fake"
disseminate,to spread widely
dissent,1. to disagree 2. the act of disagreeing
dissipate,"1. to disappear, cause to disappear 2. to waste"
dissonance,lack of harmony or consistency
dissuade,to persuade someone not to do something
distend,to swell out
dither,to be indecisive
divine,"godly, exceedingly wonderful"
divisive,"causing dissent, discord"
divulge,to reveal something secret
docile,easily taught or trained
dogmatic,aggressively and arrogantly certain about unproved principles
dormant,"sleeping, temporarily inactive"
dour,"stern, joyless"
dubious,"doubtful, of uncertain quality"
duplicity,crafty dishonesty
duress,"hardship, threat"
dynamic,actively changing
ebullient,"extremely lively, enthusiastic"
eclectic,consisting of a diverse variety of elements
ecstatic,intensely and overpoweringly happy
edict,"an order, decree"
efface,"to wipe out, obliterate, rub away"
effervescent,"bubbly, lively"
efﬁcacious,effective
effrontery,"impudence, nerve, insolence"
effulgent,"radiant, splendorous"
egregious,extremely bad
elaborate,"complex, detailed, intricate"
elated,"overjoyed, thrilled"
elegy,a speech given in honor of a dead person
elicit,"to bring forth, draw out, evoke"
eloquent,"expressive, articulate, moving"
elucidate,"to clarify, explain"
elude,"to evade, escape"
emaciated,"very thin, enfeebled looking"
embellish,"1. to decorate, adorn 2. to add details to, enhance"
embezzle,to steal money by falsifying records
embezzling,"10,000 of the company’s funds.) emend @ to correct or revise a written text"
emend,to correct or revise a written text
eminent,"1. distinguished, prominent, famous 2. conspicuous"
emollient,soothing
emote,to express emotion
empathy,sensitivity to another’s feelings as if they were one’s own
empirical,1. based on observation or experience 2. capable of being proved or disproved by experiment
emulate,to imitate
enamor,"to ﬁll with love, fascinate, usually used in passive form followed by “of” or  “with”"
encore,the audience’s demand for a repeat performance; also the artist’s  performance in response to that demand
encumber,"to weigh down, burden"
enervate,"to weaken, exhaust"
enfranchise,to grant the vote to
engender,"to bring about, create, generate"
enigmatic,"mystifying, cryptic"
enmity,"ill will, hatred, hostility"
ennui,"boredom, weariness"
entail,to include as a necessary step
enthrall,"to charm, hold spellbound"
ephemeral,"short-lived, ﬂeeting"
epistolary,relating to or contained in letters
epitome,"a perfect example, embodiment"
equanimity,composure
equivocal,"ambiguous, uncertain, undecided"
erudite,learned
eschew,"to shun, avoid"
esoteric,understood by only a select few
espouse,"to take up as a cause, support"
ethereal,"heavenly, exceptionally delicate or reﬁned"
etymology,"the history of words, their origin and development"
euphoric,"elated, uplifted"
evanescent,"ﬂeeting, momentary"
evince,"to show, reveal"
exacerbate,"to make more violent, intense"
exalt,"to glorify, praise"
exasperate,"to irritate, irk"
excavate,to dig out of the ground and remove
exculpate,"to free from guilt or blame, exonerate"
excursion,a trip or outing
execrable,"loathsome, detestable"
exhort,"to urge, prod, spur"
exigent,"urgent, critical"
exonerate,"to free from guilt or blame, exculpate"
exorbitant,excessive
expedient,"advisable, advantageous, serving one’s self-interest"
expiate,"to make amends for, atone"
expunge,"to obliterate, eradicate"
expurgate,"to remove offensive or incorrect parts, usually of a book"
extant,"existing, not destroyed or lost"
extol,"to praise, revere"
extraneous,"irrelevant, extra, not necessary"
extricate,to disentangle
exult,to rejoice
fabricate,"to make up, invent"
façade,1. the wall of a building 2. a deceptive appearance or attitude
facile,"1. easy, requiring little effort 2. superﬁcial, achieved with minimal thought or care,  insincere"
fallacious,"incorrect, misleading"
fastidious,"meticulous, demanding, having high and often unattainable standards"
fathom,"to understand, comprehend"
fatuous,"silly, foolish"
fecund,"fruitful, fertile"
felicitous,"1. well suited, apt 2. delightful, pleasing"
feral,"wild, savage"
fervent,"ardent, passionate"
fetid,having a foul odor
fetter,"to chain, restrain"
ﬁckle,"shifting in character, inconstant"
ﬁdelity,"loyalty, devotion"
ﬁgurative,symbolic
ﬂabbergasted,astounded
ﬂaccid,"limp, not ﬁrm or strong"
ﬂagrant,"offensive, egregious"
ﬂorid,"ﬂowery, ornate"
ﬂout,to disregard or disobey openly
foil,"to thwart, frustrate, defeat"
forage,"to graze, rummage for food"
forbearance,"patience, restraint, toleration"
forestall,"to prevent, thwart, delay"
forlorn,"lonely, abandoned, hopeless"
forsake,"to give up, renounce"
fortitude,"strength, guts"
fortuitous,"happening by chance, often lucky or fortunate"
forum,a medium for lecture or discussion
foster,"to stimulate, promote, encourage"
fractious,troublesome or irritable
fraught,
frenetic,"frenzied, hectic, frantic"
frivolous,"of little importance, triﬂing"
frugal,"thrifty, economical"
furtive,"secretive, sly"
garish,"gaudy, in bad taste"
garrulous,"talkative, wordy"
genial,"friendly, affable"
gluttony,overindulgence in food or drink
goad,"to urge, spur, incite to action"
gourmand,someone fond of eating and drinking
grandiloquence,"lofty, pompous language"
grandiose,on a magniﬁcent or exaggerated scale
gratuitous,"uncalled for, unwarranted"
gregarious,"drawn to the company of others, sociable"
grievous,"injurious, hurtful; serious or grave in nature"
guile,"deceitful, cunning, sly behavior"
hackneyed,"unoriginal, trite"
hallowed,"revered, consecrated"
hapless,unlucky
harangue,1. a ranting speech 2. to give such a speech
hardy,"robust, capable of surviving through adverse conditions"
harrowing,"greatly distressing, vexing"
haughty,disdainfully proud
hedonist,one who believes pleasure should be the primary pursuit of humans
hegemony,domination over others
heinous,"shockingly wicked, repugnant"
heterogeneous,"varied, diverse in character"
hiatus,a break or gap in duration or continuity
hierarchy,"a system with ranked groups, usually according to social, economic, or  professional class"
hypocrisy,pretending to believe what one does not
hypothetical,"supposed or assumed true, but unproven"
iconoclast,one who attacks common beliefs or institutions
idiosyncratic,peculiar to one person; highly individualized
idolatrous,excessively worshipping one object or person
ignominious,"humiliating, disgracing"
illicit,"forbidden, not permitted"
immerse,"to absorb, deeply involve, engross"
immutable,not changeable
impassive,"stoic, not susceptible to suffering"
impeccable,"exemplary, ﬂawless"
impecunious,poor
imperative,"1. necessary, pressing 2. a rule, command, or order"
imperious,"commanding, domineering"
impertinent,"rude, insolent"
impervious,"impenetrable, incapable of being affected"
impetuous,rash; hastily done
impinge,"1. to impact, affect, make an impression 2. to encroach, infringe"
implacable,incapable of being appeased or mitigated
implement,"1. an instrument, utensil, tool 2. to put into effect, to  institute"
implicate,"to involve in an incriminating way, incriminate"
implicit,"understood but not outwardly obvious, implied"
impregnable,resistant to capture or penetration
impudent,"casually rude, insolent, impertinent"
impute,"to ascribe, blame"
inane,silly and meaningless
inarticulate,incapable of expressing oneself clearly through speech
incarnate,"1. existing in the ﬂesh, embodied 2. to give human form to"
incendiary,"1. a person who agitates 2. inﬂammatory, causing combustion"
incessant,unending
inchoate,"unformed or formless, in a beginning stage"
incisive,"clear, sharp, direct"
inclination,"a tendency, propensity"
incontrovertible,indisputable
incorrigible,"incapable of correction, delinquent"
increment,an enlargement; the process of increasing
incumbent,1. one who holds an ofﬁce 2. obligatory
indefatigable,"incapable of defeat, failure, decay"
indigenous,originating in a region
indigent,"very poor, impoverished"
indignation,anger sparked by something unjust or unfair
indolent,lazy
indomitable,not capable of being conquered
induce,"to bring about, stimulate"
ineffable,"unspeakable, incapable of being expressed through words"
inept,"not suitable or capable, unqualiﬁed"
inexorable,incapable of being persuaded or placated
inextricable,hopelessly tangled or entangled
infamy,"notoriety, extreme ill repute"
infusion,an injection of one substance into another; the permeation of one  substance by another
ingenious,"clever, resourceful"
ingenuous,not devious; innocent and candid
inhibit,"to prevent, restrain, stop"
inimical,"hostile, enemylike"
iniquity,wickedness or sin
injunction,an order of ofﬁcial warning
innate,"inborn, native, inherent"
innocuous,"harmless, inoffensive"
innovate,to do something in an unprecedented way
innuendo,an insinuation
inoculate,"to introduce a microorganism, serum, or vaccine into an organism in  order to increase immunity to illness; to vaccinate"
inquisitor,"one who inquires, especially in a hostile manner"
insatiable,incapable of being satisﬁed
insidious,"appealing but imperceptibly harmful, seductive"
insinuate,to suggest indirectly or subtly
insipid,"dull, boring"
insolent,"rude, arrogant, overbearing"
instigate,"to urge, goad"
insular,"separated and narrow-minded; tight-knit, closed off"
insurgent,one who rebels
integral,necessary for completeness
interject,to insert between other things
interlocutor,someone who participates in a dialogue or conversation
interminable,without possibility of end
intimation,an indirect suggestion
intractable,"difﬁcult to manipulate, unmanageable"
intransigent,"refusing to compromise, often on an extreme opinion"
intrepid,brave in the face of danger
inundate,to ﬂood with abundance
inure,to cause someone or something to become accustomed to a situation
invective,an angry verbal attack
inveterate,stubbornly established by habit
inviolable,secure from assault
irascible,easily angered
iridescent,showing rainbow colors
irreverence,disrespect
irrevocable,incapable of being taken back
jubilant,"extremely joyful, happy"
judicious,having or exercising sound judgment
juxtaposition,the act of placing two things next to each other for implicit  comparison
knell,"the solemn sound of a bell, often indicating a death"
kudos,praise for an achievement
laceration,"a cut, tear"
laconic,terse in speech or writing
languid,sluggish from fatigue or weakness
larceny,obtaining another’s property by theft or trickery
largess,the generous giving of lavish gifts
latent,"hidden, but capable of being exposed"
laudatory,expressing admiration or praise
lavish,1. given without limits 2. to give without limits
legerdemain,"deception, slight-of-hand"
lenient,demonstrating tolerance or gentleness
lethargic,in a state of sluggishness or apathy
liability,"1. something for which one is legally responsible, usually involving a  disadvantage or risk 2. a handicap, burden"
libertarian,advocating principles of liberty and free will
licentious,displaying a lack of moral or legal restraints
limpid,"clear, transparent"
linchpin,something that holds separate parts together
lithe,"graceful, ﬂexible, supple"
litigant,someone engaged in a lawsuit
lucid,"clear, easily understandable"
luminous,brightly shining
lurid,"ghastly, sensational"
maelstrom,a destructive whirlpool which rapidly sucks in objects
magnanimous,"noble, generous"
malediction,a curse
malevolent,wanting harm to befall others
malleable,capable of being shaped or transformed
mandate,an authoritative command
manifest,"1. easily understandable, obvious 2. to show plainly"
manifold,"diverse, varied"
maudlin,weakly sentimental
maverick,"an independent, nonconformist person"
mawkish,characterized by sick sentimentality
maxim,a common saying expressing a principle of conduct
meager,deﬁcient in size or quality
medley,a mixture of differing things
mendacious,"having a lying, false character"
mercurial,characterized by rapid change or temperamentality
meritorious,worthy of esteem or reward
metamorphosis,"the change of form, shape, substance"
meticulous,extremely careful with details
mitigate,"to make less violent, alleviate"
moderate,1. not extreme 2. one who expresses moderate opinions
modicum,a small amount of something
modulate,"to pass from one state to another, especially in music"
mollify,to soften in temper
morass,"a wet swampy bog; ﬁguratively, something that traps and confuses"
mores,the moral attitudes and ﬁxed customs of a group of people.
morose,gloomy or sullen
multifarious,having great diversity or variety
mundane,"concerned with the world rather than with heaven, commonplace"
muniﬁcence,generosity in giving
mutable,able to change
myriad,consisting of a very great number
nadir,the lowest point of something
nascent,in the process of being born or coming into existence
nebulous,"vaguely deﬁned, cloudy"
nefarious,heinously villainous
negligent,"habitually careless, neglectful"
neophyte,someone who is young or inexperienced
nocturnal,relating to or occurring during the night
noisome,"unpleasant, offensive, especially to the sense of smell"
nomadic,wandering from place to place
nominal,"triﬂing, insigniﬁcant"
nonchalant,"having a lack of concern, indifference"
nondescript,lacking a distinctive character
notorious,widely and unfavorably known
novice,"a beginner, someone without training or experience"
noxious,"harmful, unwholesome"
nuance,"a slight variation in meaning, tone, expression"
nurture,to assist the development of
obdurate,unyielding to persuasion or moral inﬂuences
obfuscate,to render incomprehensible
oblique,"diverging from a straight line or course, not straightforward"
oblivious,lacking consciousness or awareness of something
obscure,"unclear, partially hidden"
obsequious,excessively compliant or submissive
obsolete,"no longer used, out of date"
obstinate,"not yielding easily, stubborn"
obstreperous,"noisy, unruly"
obtuse,lacking quickness of sensibility or intellect
odious,instilling hatred or intense displeasure
ofﬁcious,offering one’s services when they are neither wanted nor needed
ominous,foreboding or foreshadowing evil
onerous,burdensome
opulent,characterized by rich abundance verging on ostentation
oration,a speech delivered in a formal or ceremonious manner
ornate,"highly elaborate, excessively decorated"
orthodox,"conventional, conforming to established protocol"
oscillate,to sway from one side to the other
ostensible,"appearing as such, seemingly"
ostentatious,"excessively showy, glitzy"
ostracism,exclusion from a group
paciﬁc,soothing
palatable,agreeable to the taste or sensibilities
palette,a range of colors or qualities
palliate,to reduce the severity of
pallid,lacking color
panacea,a remedy for all ills or difﬁculties
paradigm,an example that is a perfect pattern or model
paradox,an apparently contradictory statement that is perhaps true
paragon,a model of excellence or perfection
paramount,"greatest in importance, rank, character"
pariah,an outcast
parody,a satirical imitation
parsimony,"frugality, stinginess"
partisan,"a follower, adherent"
patent,"readily seen or understood, clear"
pathology,a deviation from the normal
pathos,an emotion of sympathy
paucity,small in quantity
pejorative,"derogatory, uncomplimentary"
pellucid,"easily intelligible, clear"
penchant,"a tendency, partiality, preference"
penitent,"remorseful, regretful"
penultimate,next to last
penurious,"miserly, stingy"
perﬁdious,"disloyal, unfaithful"
perfunctory,showing little interest or enthusiasm
permeate,"to spread throughout, saturate"
pernicious,extremely destructive or harmful
perplex,to confuse
perspicacity,"shrewdness, perceptiveness"
pert,"ﬂippant, bold"
pertinacious,stubbornly persistent
perusal,"a careful examination, review"
pervasive,having the tendency to spread throughout
petulance,"rudeness, irritability"
philanthropic,"charitable, giving"
phlegmatic,"uninterested, unresponsive"
pillage,"to seize or plunder, especially in war"
pinnacle,the highest point
pithy,concisely meaningful
pittance,"a very small amount, especially relating to money"
placate,"to ease the anger of, soothe"
placid,"calm, peaceful"
platitude,"an uninspired remark, cliché"
plaudits,"enthusiastic approval, applause"
plausible,"believable, reasonable"
plenitude,an abundance
plethora,"an abundance, excess"
pliable,ﬂexible
poignant,"deeply affecting, moving"
polemic,an aggressive argument against a speciﬁc opinion
portent,an omen
potable,suitable for drinking
potentate,"one who has great power, a ruler"
pragmatic,practical
precipice,"the face of a cliff, a steep or overhanging place"
preclude,to prevent
precocious,"advanced, developing ahead of time"
predilection,a preference or inclination for something
preponderance,superiority in importance or quantity
prepossessing,occupying the mind to the exclusion of other thoughts or feelings
presage,an omen
prescient,to have foreknowledge of events
prescribe,to lay down a rule
presumptuous,disrespectfully bold
pretense,an appearance or action intended to deceive
primeval,"original, ancient"
privation,lacking basic necessities
probity,"virtue, integrity"
proclivity,a strong inclination toward something
procure,"to obtain, acquire"
profane,"lewd, indecent"
proﬂigate,"dissolute, extravagant"
profuse,"plentiful, abundant"
promulgate,"to proclaim, make known"
propagate,"to multiply, spread out"
propensity,"an inclination, preference"
propitious,favorable
propriety,"the quality or state of being proper, decent"
prosaic,"plain, lacking liveliness"
proscribe,"to condemn, outlaw"
protean,able to change shape; displaying great variety
prowess,extraordinary ability
prudence,"cautious, circumspect"
prurient,eliciting or possessing an extraordinary interest in sex
puerile,"juvenile, immature"
pugnacious,"quarrelsome, combative"
pulchritude,physical beauty
punctilious,eager to follow rules or conventions
pungent,"having a pointed, sharp quality—often used to describe smells"
punitive,involving punishment
putrid,"rotten, foul"
quagmire,a difﬁcult situation
quaint,charmingly old-fashioned
quandary,"a perplexed, unresolvable state"
quell,to control or diffuse a potentially explosive situation
querulous,"whiny, complaining"
quixotic,"idealistic, impractical"
quotidian,daily
rail,"to scold, protest"
rancid,having a terrible taste or smell
rancor,"deep, bitter resentment"
rapport,mutual understanding and harmony
rash,"hasty, incautious"
raucous,"loud, boisterous"
raze,"to demolish, level"
rebuke,"to scold, criticize"
recalcitrant,"deﬁant, unapologetic"
recapitulate,"to sum up, repeat"
reciprocate,to give in return
reclusive,"solitary, shunning society"
reconcile,1. to return to harmony 2. to make consistent  with existing ideas
rectitude,"uprightness, extreme morality"
redoubtable,1. formidable 2. commanding respect
refract,"to distort, change"
refurbish,"to restore, clean up"
of,200.) refute @ to prove wrong
refute,to prove wrong
regurgitate,1. to vomit 2. to  throw back exactly
relegate,1. to assign to the proper place 2. to assign to an inferior place
relish,to enjoy
remedial,intended to repair gaps in students’ basic knowledge
remiss,"negligent, failing to take care"
renovate,"1. restore, return to original state 2. to enlarge and make prettier, especially a house"
renown,"honor, acclaim"
renunciation,to reject
repentant,"penitent, sorry"
replete,"full, abundant"
repose,"to rest, lie down"
reprehensible,deserving rebuke
reprieve,a temporary delay of punishment
reproach,"to scold, disapprove"
reprobate,"evil, unprincipled"
reprove,"to scold, rebuke"
repudiate,"to reject, refuse to accept"
repulse,1. to disgust 2. to push back
reputable,of good reputation
requisition,"a demand for goods, usually made by an authority"
rescind,"to take back, repeal"
